이벤트 이름|캐릭터 이름|대사|캐릭터 표정|다음 이벤트
|남궁혁|뭐, 한 번쯤은 자비를 베풀어주도록 할까.|#남궁_자신감|
|채주|감사합니다, 형님!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!|#채주_웃음|
|채주|자비로운 형님께 우리도 뭐 하나 드려야 하지 않겠냐!!!!!! 얘들아!!!!!!!!!!!!!||
|녹림도|예!!!!!!!||
end||||녹림_4준비
||||
녹림3-2|남궁혁|아니. 사파에겐 척살뿐이다!|#남궁_위협|
|채주|으아아아아아아아아아악!!!!!!!!!!! 형님, 형님!!!!!!! 잠시만요!!!!!!!!!!!!|#채주_기겁|
|채주|이거!!!!! 이거 한번 보시고!!!!!!!!!!!!!!!!!!!!!|#채주_기겁|
|남궁혁|허튼수작에 넘어갈 것 같나!|#남궁_위협|
|채주|아닙니다!!!!!!!!!!!!!!!!! 야, 이 자식들아 나 숨넘어가기 전에 빨리 안 가져와!!!!!!!!!!!!!!!!!!!!|#채주_기겁|
|녹림도|여, 여, 여기 있습니다!!!!!!!!!!!!!!!||
|채주|형님!!!!! 잠시만 봐 주십쇼!!!!!!!!!!!|#채주_비굴|
end||||녹림_4준비
||||
녹림3-3|남궁혁|하는 거 봐서.||
|채주|형님께서 성의를 보이시란다!!!!! 야, 임마들아 빨리빨리 안 가져와!!!!!|#채주_비굴|
|녹림도|예!!!!!!!||
|남궁혁|아니, 그런 말은 아니었...|#남궁_당황|
|채주|아이, 섭섭하게 그런 말 마시고!|#채주_비굴|
end||||녹림_4준비
||||
녹림4|채주|자, 자, 자!! 이게 바로 무엇이냐면 우리 녹림의 자랑!||
|남궁혁|자랑?||
|채주|N34입니다!||
|남궁혁|엥?|#남궁_의문|
|채주|이것으로 말할 것 같으면! 배기음까지도 매력적인 산악용 후륜 바이크로, 묵직한 손맛이 매력적인 놈입죠 헤헤.|#채주_웃음|
|채주|여기여기, 백라이트 생긴 게 아주 예술입니다요. 자세히 보시겠습니까? 자자, 핸들도 잡아보시고.||
|남궁혁|오...||
|남궁혁|마음에 드는데?|#남궁_웃음|
|채주|아~~~~~~~~~~~~~~~~~~주 보는 눈이 있으십니다 형님!!!!!!!!!!|#채주_웃음|
|채주|자자, 저희의 마음이니까 받아주십쇼.||
|남궁혁|음... 이렇게 열렬히 주고 싶다는데 거절하기도 뭐하고. 그럼...... 그럴까!||
|채주|살았다!!!!!!! 아아아니 이놈도 형님께 가서 아아주 좋아할 겁니다. 음음.|#채주_웃음|
|남궁혁|그리고?||
|채주|...네?|#채주_눈치|
|남궁혁|내 시간이 낭비된 건 어떻게 보상할 생각이지?||
|채주|방금 N34를 드렸...|#채주_눈치|
|남궁혁|그건 내가 너희들을 살려주는 대가가 아니었던가?||
|채주|......|#채주_눈치|
|남궁혁|......||
|채주|그.|#채주_비굴|
|남궁혁|그?||
|채주|술독을 열어라!!!!!!!!!! 고기를 가져 와!!!!!!!!!! 형님께 극진히 대접해라!!!!!!!!!!!|#채주_웃음|
|남궁혁|이야, 화끈하구만. 마음에 들어! 하하하!|#남궁_웃음|
|남궁혁|(시간이 생각보다 지체되겠는데... 술자리가 끝나면 바이크도 받았으니 객잔으로 가는 게 낫겠어.)||
end||||녹림_후일담준비
||||
녹림 패배|채주|하하하하하!!!! 난다코롸!!!!!!!!!! 자식, 이것밖에 안 되는 거냐고!!!!!!|#채주_웃음|
|남궁혁|말투가 너무 괴상해서 방심해 버렸군... 안일했어.|#남궁_머쓱|
|채주|이런이런- 변명이냐!! 순순히 가진 거 다 내놓으시지!!||
|남궁혁|아, 말투 진짜 짜증 나.|#남궁_짜증|
end||||패배
||||
녹림 재도전|남궁혁|그래. 아무래도 그 입을 몇 대 쳐 줘야 기분이 풀리겠어.||
|채주|하-아? 어디 한번 다시 와 보라고, 애송이!!!!!!||
end||||녹림_보스
||||
녹림 후일담|남궁혁|날도 밝았고, 슬슬 원래 목적대로 점창파로 향해야겠군.||
|만두 (협객단)|대협! 근데... 어제 산에 그대로 두고 온 녹림 녀석들은 괜찮을까요?||
|남궁혁|녹림 아닌가. 산이 자기들 앞마당이니 알아서 하겠지.|#남궁_의문|
|만두 (협객단)|그런...가요?||
|남궁혁|애초에 내가 사파놈들을 왜 챙겨야 하는가. 자네도 신경쓰지 말게나.||
|만두 (협객단)|그것도 그렇네요. 우리 바이크나 보러 가요!||
|남궁혁|이야, 각박하구만. 어떻게 그렇게 손바닥 뒤집듯이...|#남궁_머쓱|
|만두 (협객단)|???||
|남궁혁|음, 아니네! 하하하! 아아- 바이크를 어디에 뒀더라-?|#남궁_웃음|
|만두 (협객단)|(어이없네...)||
end||||녹림_끝
||||
